0,85765.19847848262,0.083184705,-0.083184705
3,790959.9669477511,0.027214833,-0.027214833
6,1.711400032891475e7,0.012795969,-0.012795969
9,4.195623169001794e7,0.106656503,-0.106656503
11,5.774319722807685e7,0.04744104,-0.04744104
13,9.031983655341202e7,0.012794196,-0.012794196
15,8.89536317667159e7,0.047861699,-0.047861699
18,1.491404441108727e8,0.029085134,-0.029085134
20,1.5985769700439247e8,0.032828063,-0.032828063
22,1.4739885604540715e8,0.016973798,-0.016973798
24,1.6514213006926385e8,0.044915418,-0.044915418
27,1.590210303247971e8,0.05885663,-0.05885663
30,1.2877932132401644e8,0.023687343,-0.023687343
36,2.416511693327697e8,0.142206202,-0.142206202
48,1.284057804999057e8,0.146385525,-0.146385525
54,1.135688750692662e8,0.0329107,-0.0329107
60,1.030386566481435e8,0.135974052,-0.135974052