0,10^"#NUM!",10^"#NUM!"
3,8.526429411952896e6,1.0384617197387143
6,1.513321196115211e8,1.0236409919724423
9,1.841962223168619e8,1.0616806547512758
11,3.2785642805608416e8,1.0429764179686434
13,2.039085662586988e8,1.0359126655789053
15,2.6004141825631145e8,1.180192694529887
18,1.5751747156908518e8,1.1407273571272412
20,7.015254564251678e7,1.105499045652028
22,3.867021529514819e7,1.0328729219432013
24,3.7467147236677505e7,1.0585236483870506
27,1.8631737549156066e7,1.0653156621097368
30,1.859315813545228e7,1.073677539248998
36,9.529565950758783e6,1.0495617645331001
42,5.588614278409075e6,1.039521420781024
48,2.197789498991575e6,1.2262082760902817
54,6.713793093847012e6,1.0148686265018991
60,4.1101095724805575e6,1.0837156497888627
66,2.684132533268593e6,1.0626340942828534